ballotID,rank1,rank2,rank3,rank4,Gender,Age,Urbanicity,weight
522100XXXX,1,6,,,2,1,2,1.561849893
524100XXXX,5,6,,,2,2,1,0.562623911
527100XXXX,5,6,,,2,1,3,0.854417484
529100XXXX,1,6,,,2,1,3,1.267896414
530100XXXX,4,2,5,3,2,2,3,0.562623911
531100XXXX,1,6,,,2,2,3,0.416351438
536100XXXX,5,4,3,2,2,1,3,0.854417484
544100XXXX,5,6,,,2,2,3,0.760660651
546100XXXX,1,5,4,3,2,1,2,0.937109936
550100XXXX,3,2,6,,1,1,1,0.585326548
553100XXXX,1,6,,,2,1,1,0.937109936
558100XXXX,5,6,,,2,1,3,1.177138985
559100XXXX,1,4,3,2,1,1,3,1.046271204
561100XXXX,5,6,,,2,2,3,0.488437918
568100XXXX,3,1,6,,2,2,3,1.464003629
570100XXXX,5,6,,,2,2,3,1.942536275
573100XXXX,1,6,,,2,1,3,1.097565487
576100XXXX,5,6,,,2,1,1,0.760737848
578100XXXX,1,3,4,2,1,2,3,1.402832202
577100XXXX,1,6,,,2,1,3,1.359818904
579100XXXX,1,4,3,6,1,1,3,0.73464332
583100XXXX,5,6,,,2,1,3,1.330612828
585100XXXX,1,6,,,2,2,3,1.247347779
591100XXXX,5,4,2,3,2,1,1,0.760737848
590100XXXX,1,3,2,4,1,1,3,0.442303146
592100XXXX,6,,,,1,2,2,0.975928414
598100XXXX,5,6,,,2,2,3,0.83427406
599100XXXX,1,6,,,2,2,3,0.873082779
607100XXXX,1,3,4,2,1,1,3,2.582338137
611100XXXX,1,6,,,2,2,2,0.524591059
612100XXXX,1,6,,,2,2,3,0.388206469
614100XXXX,2,3,4,1,2,1,2,0.747894547
619100XXXX,5,6,,,2,1,3,1.330612828
624100XXXX,1,3,2,4,1,2,3,2.775465218
626100XXXX,5,6,,,2,1,3,1.184722409
627100XXXX,5,6,,,2,2,3,0.760660651
628100XXXX,1,6,,,2,2,3,0.957575909
631100XXXX,1,6,,,1,2,2,0.626666362
633100XXXX,1,4,6,,2,1,1,1.267896414
636100XXXX,5,3,2,4,1,1,2,1.926475791
637100XXXX,1,3,4,2,2,1,3,1.097565487
639100XXXX,5,6,,,2,2,3,1.275491833
642100XXXX,5,6,,,2,2,2,0.873082779
645100XXXX,1,6,,,2,1,2,1.097565487
648100XXXX,1,5,3,2,1,1,2,0.73464332
649100XXXX,5,6,,,2,2,2,0.488437918
650100XXXX,1,6,,,2,1,3,0.760737848
651100XXXX,4,5,2,6,2,1,2,0.658539292
653100XXXX,5,6,,,2,2,3,1.464003629
654100XXXX,1,6,,,2,1,3,0.658539292
657100XXXX,5,6,,,2,1,3,1.164721108
658100XXXX,5,6,,,2,2,3,0.760660651
660100XXXX,1,6,,,2,2,3,0.524591059
678100XXXX,1,3,4,2,2,1,3,0.658539292
679100XXXX,5,6,,,2,1,3,0.780910713
680100XXXX,1,6,,,2,2,3,0.535706802
684100XXXX,1,6,,,1,1,1,1.313174934
685100XXXX,5,6,,,2,1,3,0.747894547
